Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1070932,Ragazzi di vita,Pier Paolo Pasolini,"Pasolini, Pier Paolo",,"=""8811666279""","=""9788811666271""",3,Garzanti,Paperback,246,2000,1955,,2026/01/20,,,read,,,,1,0
24728470,M Train,Patti Smith,"Smith, Patti",,"=""1101875100""","=""9781101875100""",1,Knopf,Hardcover,256,2015,2015,2025/04/13,2025/04/13,,,read,,,,1,0
211034872,Quando muori resta a me,Zerocalcare,"Zerocalcare, Zerocalcare",,"=""""","=""9791256210091""",3,Bao Publishing,Hardcover,304,2024,2024,,2025/03/09,,,read,,,,1,0
9671303,Il male oscuro,Giuseppe Berto,"Berto, Giuseppe",Carlo Emilio Gadda,"=""881701219X""","=""9788817012195""",0,BUR Rizzoli,Paperback,419,2006,1964,,2025/02/22,to-read,to-read (#8),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",5,Basic Books,Paperback,777,1999,1979,,2025/02/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
52342758,Finché il caffè è caldo,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Claudia Marseguerra,"=""8811608767""","=""9788811608769""",3,Garzanti,Paperback,192,2020,2015,2025/01/20,2025/02/01,,,read,,,,1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,Tor Books,Hardcover,384,2006,2006,,2024/10/27,to-read,to-read (#7),to-read,,,,0,0
54275373,Il dolce domani,Banana Yoshimoto,"Yoshimoto, Banana",Gala Maria Follaco,"=""8807033984""","=""9788807033988""",0,Feltrinelli,Paperback,104,2020,2011,,2024/10/16,to-read,to-read (#6),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,Random House: Modern Library,Paperback,272,2004,1890,,2016/03/25,,,read,,,,1,0
9669398,Viaggio al termine della notte,Louis-Ferdinand Céline,"Céline, Louis-Ferdinand",Ernesto Ferrero,"=""8879720171""","=""9788879720175""",3,Corbaccio,Hardcover,575,2005,1932,2016/09/17,2016/04/17,,,read,,,,1,0
